b1_Eta	b1_Phi	b1_pT	b1_Px	b1_Py	b1_Pz	b1_E	b2_Eta	b2_Phi	b2_pT	b2_Px	b2_Py	b2_Pz	b2_E	genphoton_Eta	genphoton_Phi	genphoton_pT	genphoton_Px	genphoton_Py	genphoton_Pz	genphoton_E	jet1_Eta	jet1_Phi	jet1_pT	jet1_Px	jet1_Py	jet1_Pz	jet1_E	jet2_Eta	jet2_Phi	jet2_pT	jet2_Px	jet2_Py	jet2_Pz	jet2_E	isophoton_Eta	isophoton_Phi	isophoton_pT	isophoton_Px	isophoton_Py	isophoton_Pz	isophoton_E	deltaEta_b1_jet1	deltaPhi_b1_jet1	deltaEta_b1_jet2	deltaPhi_b1_jet2	deltaEta_b2_jet1	deltaPhi_b2_jet1	deltaEta_b2_jet2	deltaPhi_b2_jet2	deltaEta_jet1_jet2	deltaPhi_jet1_jet2	deltaR_b1_jet1	deltaR_b1_jet2	deltaR_b2_jet1	deltaR_b2_jet2	deltaR_jet1_jet2	deltaEta_b1_b2	deltaPhi_b1_b2	deltaR_b1_b2	invmass
-0.589534	0.565855	65.0997	54.9527	34.9024	-40.6405	76.8876	0.127904	-2.89178	29.2653	-28.3569	-7.23497	3.75337	29.8771	0.703959	-2.33645	38.3773	-26.5957	-27.6674	29.3033	48.2856	-0.578952	0.58526	74.4528	62.0615	41.1289	-45.5532	87.2829	0.125173	-3.02768	38.5746	-38.3246	-4.38467	4.8411	38.8772	0.693573	-2.37035	40.2139	-28.8351	-28.0302	30.1818	50.2802	-0.01058199999999998	0.019405000000000006	-0.714707	2.689650307179586	0.706856	2.8061453071795865	0.0027309999999999834	0.13590000000000035	-0.704125	2.670245307179586	0.022102776952229324	2.7829884783736065	2.893803187803555	0.13592743785196607	2.7615216848939648	-0.717438	2.8255503071795864	2.915210425037386	175.836191621404
0.869753	-2.13406	53.06	-28.3313	-44.8631	52.1916	74.5749	-1.03313	1.29851	55.1041	14.8195	53.0739	-67.6111	87.3488	0.697338	-0.546046	15.8109	13.5118	-8.21081	11.9411	19.8135	-1.02157	1.23934	56.7961	18.4824	53.7048	-68.6528	89.1011	0.841268	-1.9583	37.1619	-14.0428	-34.4065	35.0835	51.1064	0.678759	-0.491216	17.2507	15.211	-8.13715	12.6291	21.3795	1.891323	2.909785307179586	0.028484999999999983	0.17575999999999992	-0.011560000000000015	0.059169999999999945	-1.8743980000000002	3.0263753071795865	-1.862838	3.0855453071795864	3.4704399179653285	0.17805328647626803	0.060288659796017975	3.5598195687858025	3.6042690322591024	1.902883	2.850615307179586	3.427385496441211	158.62266308216334
0.851556	0.0412661	34.081	34.0519	1.40599	32.6588	47.4362	0.347778	-2.99826	16.4448	-16.2762	-2.34896	5.83514	18.0713	0.0530697	3.08859	17.8007	-17.7757	0.94297	0.945123	17.8258	0.158438	-3.00027	39.0701	-38.6806	-5.50299	6.21612	39.5615	1.13553	0.0752323	34.0834	33.987	2.56175	47.5733	58.5227	1.25852	2.49146	10.4388	-8.30931	6.31856	16.8908	19.8562	0.693118	3.0415361	-0.28397399999999995	0.0339662	0.18933999999999998	0.0020099999999998452	-0.787752	3.0734923000000003	-0.977092	3.0755023	3.1195118864218503	0.28599813883737074	0.18935066860193547	3.1728391279204957	3.2269836029594714	0.5037780000000001	3.0395261000000002	3.0809919159039043	93.45460124606548
1.13337	1.13669	60.4718	25.4346	54.8627	84.1815	103.757	1.48287	-2.25975	62.3178	-39.6175	-48.1037	130.2	144.422	1.24043	-0.444726	15.7111	14.1828	-6.75907	24.8851	29.4297	1.11851	0.984524	44.2255	24.4682	36.8403	60.4454	74.8969	1.71518	-2.0056	37.0252	-15.5963	-33.58	99.5561	106.218	1.13223	-0.422232	19.7015	17.9712	-8.07362	27.3876	33.7377	0.014860000000000095	0.15216600000000002	-0.5818099999999999	3.140895307179586	0.36436	3.0389113071795864	-0.23231000000000002	0.2541500000000001	-0.59667	2.990124	0.15288986609975172	3.1943271915636235	3.0606764191112954	0.34432565777182517	3.0490747160861766	-0.3494999999999999	2.886745307179586	2.907825427793657	101.5049006743891
0.426798	2.20028	27.7028	-16.3094	22.3931	12.1858	30.6272	1.64302	-1.15828	38.4289	15.4068	-35.2053	95.6378	103.177	-0.426637	1.50046	12.844	0.902598	12.8122	-5.64747	14.0307	0.592133	2.00187	31.4933	-13.1594	28.6122	19.7572	37.1776	1.28726	-1.1025	30.8563	13.9274	-27.5344	51.6351	60.1523	0.162308	1.43208	24.6432	3.4075	24.4065	4.01739	24.9685	-0.165335	0.19840999999999998	-0.8604620000000001	2.9804053071795864	1.050887	3.1230353071795864	0.35575999999999985	0.05577999999999994	-0.695127	3.10437	0.2582676718542218	3.1021300179889697	3.295104401480975	0.36010635373455974	3.18124419732736	-1.216222	2.9246253071795865	3.167432578710917	92.75447671095932
-1.09978	0.536834	24.4002	20.9679	12.4787	-32.5814	40.9757	-2.07918	2.3203	13.8561	-9.43983	10.143	-54.5437	56.4721	-1.54472	-2.0421	25.3897	-11.5281	-22.6217	-56.7879	62.2054	-1.04189	0.720518	26.3869	19.8288	17.4094	-32.7432	42.0521	-2.03529	2.03186	25.0489	-11.1442	22.4334	-94.2317	97.5041	-1.51066	-2.06754	24.7265	-11.7839	-21.738	-53.2727	58.7315	-0.05789	0.18368399999999996	0.9355099999999998	1.495026	-1.03729	1.599782	-0.04389000000000021	0.28844000000000003	0.9933999999999998	1.311342	0.19259040463117572	1.7635990759739015	1.9066391875821709	0.29176011670548807	1.6451326393224346	0.9794	1.783466	2.0346929333823325	80.56938141750864
-1.61008	-1.92805	44.8169	-15.6727	-41.9872	-107.636	116.688	-2.48461	0.829213	35.0826	23.6967	25.8699	-208.971	211.948	-2.10559	2.03273	18.0042	-8.02408	16.1173	-72.8287	75.0212	-1.6082	-1.84791	45.1124	-12.342	-43.3912	-108.124	117.158	-2.5346	0.832374	30.2861	20.3862	22.3975	-189.773	192.175	-2.06303	2.03797	17.3507	-7.81422	15.4915	-67.1711	69.3758	-0.0018799999999998818	0.0801400000000001	0.9245200000000002	2.760424	-0.8764099999999999	2.677123	0.0499900000000002	0.0031609999999999694	0.9264000000000001	2.680284	0.080162048377022	2.9111300022802142	2.816927767130176	0.05008983949864503	2.83586658371934	0.87453	2.757263	2.8926289032762225	100.57489977220753
0.534716	1.75657	52.6383	-9.72267	51.7326	29.5071	60.5273	-2.68209	-0.800584	22.1714	15.4376	-15.9138	-161.266	162.851	0.362966	-1.72901	36.2718	-5.71497	-35.8188	13.4564	38.6875	0.579884	1.68223	38.29	-4.25791	38.0525	23.4692	44.9102	-2.96698	-0.832201	22.5802	15.2021	-16.6962	-218.821	219.983	0.343382	-1.66152	37.1395	-3.3648	-36.9868	13.0051	39.3507	-0.045167999999999986	0.07434000000000007	3.501696	2.588771	-3.261974	2.482814	0.28488999999999987	0.031617000000000006	3.546864	2.514431	0.08698611282267997	4.35472274282267	4.0993706511209735	0.2866390531469847	4.3477129031546	3.216806	2.5571539999999997	4.109364600683662	242.92441623537536
-0.66291	-1.45064	40.6174	4.86878	-40.3245	-28.9416	50.0947	1.38854	2.49121	17.309	-13.7754	10.4804	32.5369	37.1529	-1.0292	1.28077	31.1448	8.90662	29.8441	-38.0208	49.1485	-0.505457	-1.44674	32.0935	3.97122	-31.8468	-16.9215	36.2812	1.32683	2.62409	27.8354	-24.1906	13.7704	48.7641	56.1493	-0.832758	1.34563	35.2731	7.87537	34.3827	-32.8887	48.2272	-0.15745299999999995	0.0039000000000000146	-1.9897399999999998	2.2084553071795865	1.8939970000000002	2.3452353071795864	0.061710000000000154	0.13287999999999967	-1.832287	2.2123553071795863	0.15750129272167893	2.9725982088754748	3.0145237239157248	0.1465101310490163	2.8725931935404083	-2.05145	2.341335307179586	3.1129243683626058	139.15898907907422
0.0324492	1.89683	72.4421	-23.2024	68.6259	2.3511	72.6325	-1.29616	-1.07354	72.9167	34.7825	-64.0861	-123.29	143.315	-0.892809	-2.76797	12.4382	-11.5801	-4.53981	-12.6402	17.7337	-1.37508	-1.08976	67.109	31.051	-59.4933	-124.238	141.205	-0.076926	1.79554	46.7061	-10.4089	45.5315	-3.59646	46.8444	-0.666142	-2.8039	12.3144	-11.6189	-4.07985	-8.82339	15.1491	1.4075292000000001	2.98659	0.10937519999999999	0.1012900000000001	0.0789200000000001	0.016220000000000123	-1.219234	2.86908	-1.298154	2.8853	3.301644783581759	0.1490724604849602	0.08056956497338198	3.1173950011437435	3.163883673227573	1.3286092	2.97037	3.2539668626500546	149.02128426055458
